Marca,Descrição,Tipo,Preço
Frami,Maionese frami 270gr,Maionese,2.375
Paladin,Molho batatas fritas paladin tp 275ml,Maionese,2.970
Delicia,Maionese delicia tp 450gr,Maionese,3.120
Frami,Maionese frami 430gr,Maionese,3.165
Perdiz,Maionese perdiz td 225ml,Maionese,3.165
Paladin,Maionese paladin tp 250gr,Maionese,3.565
Alimo,Maionese alimo mayo td 450ml,Maionese,3.660
Primavera,Ketchup primavera td 500ml,Maionese,3.660
Heinz,Maionese heinz frasco 240ml,Maionese,4.455
Paladin,Maionese paladin tp 450gr,Maionese,4.950
Peninsular,Tempero sumo limao peninsular 500ml,Molhos/Temperos,690
Frami,Molho piri-piri frami 100ml,Molhos/Temperos,890
Baggio,Molho bechamel baggio 60gr,Molhos/Temperos,990
Donna Maria,Tempero completo donna maria 300gr s/pimenta,Molhos/Temperos,1.130
Donna Maria,Tempero completo d.maria 300gr p/aves,Molhos/Temperos,1.130
Zinho`s,Malagueta uige tchassana zinho`s 100ml,Molhos/Temperos,1.185
Flor Da Seara,Tempero sumo limao flor da seara 85gr,Molhos/Temperos,1.285
Frami,Molho ingles frami 200ml,Molhos/Temperos,1.385
Zinho`s,Tempero p/assados zinho`s 170gr suino,Molhos/Temperos,1.635
Donna Bia,Cominhos moidos donna bia 85ml,Molhos/Temperos,1.820
Diamond River,Molho soja escura diamond river 250ml,Molhos/Temperos,1.880
*,Molho soja baixo sodio diamond river 250ml,Molhos/Temperos,1.880
Dourado,Sal fino ekango 500gr,Sal,215
Saldomar,Sal cozinha iodado saldomar 1kg,Sal,345
Sabor Vida,Sal grosso sabor a vida 1kg,Sal,565
Dantas,Sal refinado dantas frasco 95gr,Sal,1.880
Donna Bia,Sal grosso c/moinho donna bia 85ml,Sal,2.375
Dandara,Gengibre em po dandara saq 14gr,Ervas/Especiarias,425
Amanhecer,Piri-piri moido amanhecer frasco 41gr,Ervas/Especiarias,590
Dandara,Cebolinho dandara saq 7gr,Ervas/Especiarias,595
Dandara,Alho granulado dandara saq 14gr,Ervas/Especiarias,645
Dandara,Canela moida dandara saq 12gr,Ervas/Especiarias,645
Dandara,Caril moido dandara saq 14gr,Ervas/Especiarias,645
Dandara,Pimentao doce dandara saq 14gr,Ervas/Especiarias,645
Dandara,Açafrao das indias dandara saq 14gr,Ervas/Especiarias,740
Dandara,Cominhos moidos dandara saq 12gr,Ervas/Especiarias,740
Al Fina,Pimenta caiena em po al fina frasco 40gr,Ervas/Especiarias,790
Al Fina,Caril em po al fina frasco 50gr,Ervas/Especiarias,790
Al Fina,Pimenta preta moida al fina frasco 50gr,Ervas/Especiarias,890
Alimo,Caldo camarao alimo saqueta 10gr,Caldos,25
Alimo,Caldo carne alimo 8cubos 80gr,Caldos,595
Alimo,Caldo verduras alimo 80gr,Caldos,595
Alimo,Caldo peixe alimo 80gr,Caldos,595
Alimo,Caldo camarao alimo 80gr,Caldos,595
Frami,Caldo galinha frami 8 cubos,Caldos,890
Frami,Caldo carne frami 8 cubos,Caldos,890
Frami,Caldo peixe frami 8 cubos,Caldos,890
Kicaldo,Caldo  carne kicaldo em cubo 10gr,Caldos,950
Knorr,Caldo knorr 8 cubos marisco,Caldos,990
Frami,Caldo marisco frami 8 cubos,Caldos,990
Frami,Caldo carne frami 12 cubos,Caldos,1.185
Amanhecer,Sopa instant. amanhecer 72gr marisco,Sopas,1.090
Tio Lucas,Bolacha maria tio lucas 20gr,Bolacha maria/torrada,50
Gullon,Maria gullon leite 25g,Bolacha maria/torrada,225
Gira,Bolacha maria tio lucas 125gr,Bolacha maria/torrada,225
Tio Lucas,Bolacha maria tio lucas 125gr,Bolacha maria/torrada,235
Vieira Castro,Bolacha maria vieira castro 25gr,Bolacha maria/torrada,425
Amanhecer,Bolacha maria amanhecer 200gr,Bolacha maria/torrada,740
*,Bolacha maria embalagem transp 150gr,Bolacha maria/torrada,890
Nacional,Bolacha torrada nacional 200gr,Bolacha maria/torrada,1.090
Aliança,Bolacha maria aliança tradicional 200gr,Bolacha maria/torrada,1.485
Vieira Castro,Bolacha maria vieira castro 300gr original,Bolacha maria/torrada,5.445
Vieira Castro,Bolacha maria vieira castro 300gr s/açucar,Bolacha maria/torrada,6.435
Vieira Castro,Bolacha maria vieira castro 800gr,Bolacha maria/torrada,7.920
Gira,Bolacha agua e sal gira 20gr,Bolacha cracker/água e sal,50
Tio Lucas,Bolacha cream cracker tio lucas 30gr,Bolacha cracker/água e sal,60
Gira,Bolacha agua e sal gira 125gr,Bolacha cracker/água e sal,185
Tio Lucas,Bolachas cream crackers tio lucas 200gr,Bolacha cracker/água e sal,210
Vieira Castro,Bolacha cream cracker vieira castro 30gr,Bolacha cracker/água e sal,295
Vieira Castro,Bolacha agua e sal vieira castro 14gr,Bolacha cracker/água e sal,345
Aliança,Bolacha agua e sal aliança pacote transparente,Bolacha cracker/água e sal,645
Tuc,Bolacha tuc 100gr paprika,Bolacha cracker/água e sal,840
Cuetara,Bolacha cuetara cracker integral 200gr,Bolacha cracker/água e sal,1.235
Vieira Castro,Bolacha agua e sal vieira castro 125gr,Bolacha cracker/água e sal,1.435
Bakers,Biscoitos bakers cream crackers 200gr,Bolacha cracker/água e sal,1.680
Dancake,Bolacha crack it dancake c/sal 500gr,Bolacha cracker/água e sal,4.455
Tio Lucas,Bolacha c/recheio tio lucas 110gr baunilha,Bolacha creme/waffer,145
Tio Lucas,Bolacha c/recheio tio lucas 110gr morango,Bolacha creme/waffer,145
Lykon,"Bolacha creme lykon 82,5gr chocolate",Bolacha creme/waffer,150
Maxon,Bolacha c/recheio palmary maxon 38gr,Bolacha creme/waffer,165
Palmito,Bolacha c/creme palmary palmito 64gr,Bolacha creme/waffer,255
Parle,Bolacha creme parle hide&seek 112gr baunilha,Bolacha creme/waffer,415
Parle,Bolacha creme parle hide&seek 112gr morango,Bolacha creme/waffer,415
Parle,Bolacha creme parle hide&seek 112gr laranja,Bolacha creme/waffer,415
Lykon,Bolacha waffer lykon 100gr vanilla,Bolacha creme/waffer,475
Lykon,Bolacha waffer lykon 100gr strawberry,Bolacha creme/waffer,475
Sona,Bolacha sona creamdip banana 150gr,Bolacha creme/waffer,495
Triunfo,Bolacha wafer triunfo 105gr chocolate,Bolacha creme/waffer,750
Vieira Castro,Bolacha digestiva vieira castro 43gr,Bolacha digestiva,740
Gullon,Bolacha digestive gullon classic 400gr,Bolacha digestiva,1.930
Gullon,Bolacha gullon digestive 280gr aveia/laranja/chocolate,Bolacha digestiva,2.475
Gullon,Bolacha gullon digestive 425gr aveia/chocolate,Bolacha digestiva,2.810
Aliança,Bolacha digestiva aliança aveia 300gr,Bolacha digestiva,3.165
Gullon,Bolacha gullon digestive 425gr aveia/laranja,Bolacha digestiva,3.660
Vieira Castro,Bolacha digestiva vieira castro 174gr thins tradicional,Bolacha digestiva,4.750
Tio Lucas,Bolacha glucose tio lucas 45gr,Bolachas/Biscoitos,70
Delisso,Bolacha wafer delisso 42gr cocoa,Bolachas/Biscoitos,295
Da Avo,Biscoito bolinhos da avo 250gr,Bolachas/Biscoitos,1.285
*,Biscoito bolinhos integrais 250gr,Bolachas/Biscoitos,1.285
*,Biscoito lagartos 250gr,Bolachas/Biscoitos,1.285
*,Biscoito linguas de gato 200gr,Bolachas/Biscoitos,1.285
*,Biscoito argolas de azeite 200gr,Bolachas/Biscoitos,1.285
Gullon,Biscoito gullon bizcochos 200gr,Bolachas/Biscoitos,1.285
Quente E Bom,Biscoito quente e bom frisado laranja 250gr,Bolachas/Biscoitos,1.585
Donna Bia,Bolacha donna bia 300gr cravinho,Bolachas/Biscoitos,1.680
Donna Bia,Bolacha de ginguba 300g,Bolachas/Biscoitos,1.680
Donna Bia,Biscoito donna bia 300gr coco,Bolachas/Biscoitos,1.680
Nestle,Nestum bolacha 300g,Cereais peq. almoço,215
Tio Lucas,Cereais gbola tio lucas 250gr,Cereais peq. almoço,545
Tio Lucas,Cereais gchocos tio lucas 250gr,Cereais peq. almoço,545
Tio Lucas,Cereais gloops tio lucas 250gr,Cereais peq. almoço,545
Nestle,Nestum mel sachet 300gr,Cereais peq. almoço,1.335
Nacional,Cereais nacional starz 300gr,Cereais peq. almoço,1.485
Nestum,Nestum mel 300gr,Cereais peq. almoço,1.780
Nacional,Cereais corn flakes nacional 500gr,Cereais peq. almoço,1.880
Nacional,Cereais nacional powerz 300gr,Cereais peq. almoço,1.975
Nacional,Cereais chocolate nacional chooks 300gr,Cereais peq. almoço,2.175
Nacional,Cereais chocolate nacional 650gr chocomax,Cereais peq. almoço,2.175
Nestle,Cereais chocolate nestle nesquik 375gr,Cereais peq. almoço,2.475
Al Fina,Cereais flocos aveia finos al fina 400gr,Flocos aveia/Granola,990
Tiara,Flocos aveia branca tiara 500gr,Flocos aveia/Granola,3.465
Delta,Cafe expresso delta q c/10 capsulas nº15 mythiq,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas nº9 qharacter,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas nº8 aqtivus,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas nº5 qonvictus,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas nº12 qharisma,Café cápsulas,5.940
Delta,Cafe delta q epiq c/10 capsulas nº14,Café cápsulas,5.940
Delta,Cafe expresso delta q c/10 capsulas cevada pure,Café cápsulas,6.930
Delta,Cha delta q tisana refresh verde c/10 capsulas ref. 03112,Café cápsulas,7.820
Delta,Cha delta q tetley c/10 capsulas relax,Café cápsulas,7.820
Delta,Cafe expresso delta q c/10 capsulas double coffee,Café cápsulas,7.920
Delta,Cafe expresso delta q c/10 capsulas canela,Café cápsulas,7.920
Delta,Cafe expresso delta q pack xl c/40 capsulas nº14 epiq,Café cápsulas,19.500
Loya,Cafe instantaneo loya 3em1 galao 20gr,Café instantâneo/solúvel,100
Samba,Cafe instantaneo samba 50gr,Café instantâneo/solúvel,740
Samba,Cafe instantaneo samba 100gr,Café instantâneo/solúvel,1.385
Cafrica,Cafe instantaneo cafrica 50gr descafeinado,Café instantâneo/solúvel,2.475
Delta,Cafe soluvel delta ginga 3em1 400gr 20un,Café instantâneo/solúvel,2.970
Cafrica,Cafe instantaneo cafrica 100gr classico,Café instantâneo/solúvel,3.960
Cafrica,Cafe instantaneo cafrica 100gr descafeinado,Café instantâneo/solúvel,4.155
Delta,Cafe soluvel delta frasco 100gr,Café instantâneo/solúvel,4.850
Delta,Cafe cevada soluvel delta frasco 200gr,Café instantâneo/solúvel,5.145
Delta,Cafe soluvel delta grancafe gold frasco 100gr,Café instantâneo/solúvel,5.245
Delta,Cafe + cereais soluvel delta frasco 200gr,Café instantâneo/solúvel,5.940
Ginga,Cafe moido ginga lote bwe md 125gr,Café moído/grão,1.285
Ginga,Cafe moido ginga lote bwe md 250gr,Café moído/grão,2.475
Ginga,Cafe ginga lobito gr 250gr,Café moído/grão,4.455
Ginga,Cafe moido ginga lote bwe md 500gr,Café moído/grão,4.650
Ginga,Cafe moido ginga lote lobito md 500gr,Café moído/grão,5.445
Delta,Cafe moido delta lote brazil 220gr,Café moído/grão,6.930
Delta,Cafe delta lote chavena ms 250gr,Café moído/grão,7.920
Delta,Cafe grao delta lote chavena gr 250gr,Café moído/grão,11.385
Al Fina,Cha preto al fina 25 saq,Chá saquetas,595
Amanhecer,Cha amanhecer 10saq cidreira,Chá saquetas,595
Sona,Cha preto sona 25 saq 50gr,Chá saquetas,645
Amanhecer,Cha infusao amanhecer 10saq tilia,Chá saquetas,720
Al Fina,Cha verde al fina 25 saq menta,Chá saquetas,790
Al Fina,Cha al fina 25 saq limao,Chá saquetas,790
Al Fina,Cha verde al fina 25 saq limao,Chá saquetas,790
Al Fina,Cha verde al fina 25 saq caxinde,Chá saquetas,790
Al Fina,Cha verde al fina 25 saq,Chá saquetas,790
Just A Minute,Cha preto just a minute 28gr 20un,Chá saquetas,890
Bom Tea,"Cha bom tea 1,2gr preto 25saq",Chá saquetas,990
Sona,Cha sona 25 saq limao,Chá saquetas,1.090
Twisco,Achocolatado twisco 250gr,Achocolatado,1.535
Twisco,Achocolatado em po twisco 400gr,Achocolatado,1.680
Nesquick,Chocolate po nesquick 250gr,Achocolatado,2.225
Twisco,Achocolatado twisco jarro 400gr,Achocolatado,2.425
Nesquick,Chocolate po nesquik 500gr,Achocolatado,3.810
Bom Dia,Leite em po instantaneo bom dia 20gr,Leite em Pó,70
Momo,Leite em po momo pacote 17gr,Leite em Pó,90
Nestle,Leite em po nido fortificante sachet 17gr,Leite em Pó,90
Mixwell,Leite em po instantaneo mixwell pacote 400gr,Leite em Pó,1.680
Nutra Plus,Leite em po nutra plus sachet 500gr,Leite em Pó,1.980
Nido,Leite em po nido fortificante pacote 400gr,Leite em Pó,2.080
Nutrias,Leite em po nutrias lata 400gr,Leite em Pó,2.175
Momo,Leite em po inst. momo pacote 500gr,Leite em Pó,2.670
Nutrias,Leite em po nutrias saco 500gr,Leite em Pó,2.870
Nestle,Leite lactogen 2 400g,Leite em Pó,3.265
Nido,Leite em po nido fortificante lata 400gr,Leite em Pó,3.465
Nestle,Leite em po nestle optipro nan 2 400gr,Leite em Pó,3.465
Cereamil,Farinha lactea cereamil milby 50gr arroz/leite,Farinha Láctea,245
Cereamil,Farinha lactea cereamil milby 50gr trigo/mel,Farinha Láctea,245
Nutribom,Farinha lactea nutribom 350gr aveia,Farinha Láctea,1.090
Nestle,Farinha lactea cerelac 250gr multicereais,Farinha Láctea,1.090
Cereamil,Farinha lactea cereamil milby 250gr arroz/leite,Farinha Láctea,1.285
Nestum,Nestum bolacha maria 300gr,Farinha Láctea,1.585
Nestle,Farinha lactea cerelac 250gr bolacha maria,Farinha Láctea,1.880
Cerelac,Farinha lactea cerelac 500gr wheat,Farinha Láctea,2.475
Nestle,Farinha lactea cerelac 250gr maça,Farinha Láctea,2.870
Nutrino,Farinha lactea nutrino 200gr 7 cereais,Papas/Pure,1.780
Nutrino,Farinha lactea nutrino 200gr arroz/milho c/banana,Papas/Pure,1.780
Nutrino,Farinha lactea nutrino 200gr arroz/cereal,Papas/Pure,1.880
Niveen,Bolo niveen classico 50gr morango,Chocolates,255
Regina,Chocolate leite regina 20gr maracuja,Chocolates,585
Regina,Chocolate leite regina 24gr classic,Chocolates,645
Cadbury,Barra chocolate cadbury lunch bar 48gr,Chocolates,1.140
Twix,Chocolate twix 50gr,Chocolates,1.585
Bounty,Chocolate bounty 57gr,Chocolates,1.585
Mars,Chocolate mars 51gr,Chocolates,1.585
Snickers,Chocolate snickers 50gr,Chocolates,1.585
Schogetten,Chocolate negro schogetten 100gr,Chocolates,1.930
Cadbury,Chocolate cadbury dairy milk 80gr wholenut,Chocolates,1.980
Cadbury,Chocolate cadbury dairy milk 80gr coconut,Chocolates,1.980
Cadbury,Chocolate cadbury dairy milk 80gr original,Chocolates,1.980
Gorila,Pastilha elastica super gorila banana,Gomas/Pastilhas,295
Gorila,Pastilha elastica super gorila morango,Gomas/Pastilhas,295
Gorila,Pastilha elastica super gorila tutti-frutti,Gomas/Pastilhas,295
Interdoces,Gomas guloseimas interdoces 90gr tijolos,Gomas/Pastilhas,555
Interdoces,Gomas sortido interdoces 90gr brilho,Gomas/Pastilhas,810
Interdoces,Gomas sortido interdoces 90gr açucar,Gomas/Pastilhas,810
Interdoces,Gomas sortido interdoces 90gr acido,Gomas/Pastilhas,810
Interdoces,Gomas guloseimas interdoces 90gr minhocas acidas,Gomas/Pastilhas,810
Interdoces,Gomas guloseimas interdoces 90gr bananas,Gomas/Pastilhas,810
Interdoces,Gomas guloseimas interdoces 90gr beijinhos,Gomas/Pastilhas,810
Interdoces,Gomas guloseimas interdoces 90gr garrafas cola,Gomas/Pastilhas,810
Interdoces,Gomas guloseimas interdoces 90gr morangos,Gomas/Pastilhas,810
Lykon,Rebuçados lykon top candy 400gr menta,Rebuçados/Pirulito,840
Lusiteca,Rebuçados mentol lusiteca 100gr,Rebuçados/Pirulito,1.980
Penha,Rebuçados de fruta penha 100gr,Rebuçados/Pirulito,1.980
Penha,Rebuçados caramelos leite penha 100gr,Rebuçados/Pirulito,1.980
Penha,Rebuçados recheio mel penha 100gr,Rebuçados/Pirulito,1.980
Penha,Rebuçados recheio morango penha 100gr,Rebuçados/Pirulito,1.980
Penha,Rebuçados recheio fruta penha 100gr,Rebuçados/Pirulito,1.980
Lykon,Chupa-chupa lykon lollypop 1kg,Rebuçados/Pirulito,2.870
Vieira Castro,Amendoas vieira castro lisa cores 100gr,Amêndoas,1.185
Vieira Castro,Amendoas vieira castro tipo frances 100gr,Amêndoas,1.285
Vieira Castro,Amendoas vieira castro paris 200gr,Amêndoas,2.670
Biagio,Aroma artificial biagio 30ml limao,Aromas/Enfeites,645
Foster,Aroma artificial foster clark`s 28ml baunilha,Aromas/Enfeites,990
Foster,Aroma artificial foster clark`s 28ml morango,Aromas/Enfeites,990
Alimo,Topping alimo 290ml morango,Aromas/Enfeites,1.980
Donna Bia,Decoraçao p/bolos vermicelli donna bia 85ml cacau,Aromas/Enfeites,2.275
Alimo,Coco ralado alimo 100gr,Coco/Cacau,890
Ferbar,Coco ralado ferbar 100gr,Coco/Cacau,1.155
Donna Bia,Coco ralado donna bia saco 100gr,Coco/Cacau,1.445
Alimo,Coco ralado alimo 200gm,Coco/Cacau,1.585
Donna Bia,Cacau em po donna bia 85ml,Coco/Cacau,1.810
Perdiz,Coco ralado perdiz 200gr,Coco/Cacau,2.155
Quente E Bom,Cacau em po q&b 200gr,Coco/Cacau,2.870
Quente E Bom,Coco ralado q&b 200gr,Coco/Cacau,3.165
Quente E Bom,Granulado de chocolate q&b 200gr,Coco/Cacau,3.165
Donna Bia,Cacau em po donna bia 200ml,Coco/Cacau,3.435
Quente E Bom,Chocolate negro 70% cacau q&b 200gr,Coco/Cacau,3.760
La Granda,Fermento bolo la granda 50gr,Fermento,245
Royal,Fermento em po royal baking powder 50gr,Fermento,650
Donna Bia,Bicarbonato sodio donna bia 85ml,Fermento,1.185
Foster Clark´s,Fermento p/bolos foster clark´s 110gr,Fermento,1.285
Donna Bia,Fermento de pastelaria donna bia 85ml,Fermento,1.830
Amanhecer,Fermento po amanhecer 150gr,Fermento,2.275
Biagio,Preparado bolo coco biagio 450gr,Massa Pronta,1.880
Biagio,Preparado bolo red velvet biagio 450gr,Massa Pronta,1.880
Quente E Bom,Preparado p/bolo cake 500gr ananas,Massa Pronta,3.265
Quente E Bom,Preparado p/bolo cake 500gr chocolate,Massa Pronta,3.265
Quente E Bom,Preparado p/bolo cake 500gr cenoura,Massa Pronta,3.660
Quente E Bom,Preparado p/bolo cake 500gr laranja,Massa Pronta,3.660
Foster,Gelatina foster clark`s 85gr morango,Gelatina/Leite creme,690
Biagio,Mousse maracuja biagio 100gr,Gelatina/Leite creme,1.185
Quente E Bom,Chantilly em po q&b 200gr,Gelatina/Leite creme,3.165
Uami,Leite uht uami meio gordo 1l,Leite,745
Gulkis,Leite meio gordo gulkis 1l,Leite,990
Uami,Leite uht uami magro 1l,Leite,990
Momo,Leite meio gordo momo uht 500ml,Leite,1.040
Gulkis,Leite uht gulkis 1l magro,Leite,1.185
Uami,Leite uht uami gordo 1l,Leite,1.185
Momo,Leite uht momo meio gordo 1l,Leite,1.235
Momo,Leite meio gordo momo uht basico 1lt,Leite,1.235
Gulkis,Leite uht gordo gulkis 1l,Leite,1.285
Momo,Leite gordo momo uht basico 1lt,Leite,1.285
Lactiangol,Leite uht lactiangol 1l gordo,Leite,1.335
Mimosa,Leite uht mimosa meio gordo,Leite,1.385
Super M,Bebida leite clover super m 300ml morango,Leite aromatizado,990
Good Hope,Leite soja clover good hope 1l regular,Bebida soja,2.970
Cocoriko,Leite coco cocoriko 400gr,Leite coco,1.285
Alimo,Leite coco alimo 370ml,Leite coco,2.395
Perdiz,Leite coco perdiz 400ml,Leite coco,3.615
Uami,Leite condensado uami 390gr,Leite Condensado,920
Biba,Leite condensado biba 390gr,Leite Condensado,990
Nestle,Leite condensado nestle sweetened 385gr,Leite Condensado,1.980
Clover,Leite condensado clover 385gr,Leite Condensado,1.980
Nestle,Leite condensado nestle magro 387gr,Leite Condensado,2.185
Parmalat,Nata p/cozinhar parmalat 200ml,Natas,2.275
Pritchitts,Nata p/cobertura pritchitts gold 1l,Natas,9.900
Alimo,Creme barrar alimo l´avela 350gr,Creme Barrar,1.780
Maxon,Creme barrar palmary maxon 350gr,Creme Barrar,1.980
Uami,Leite uht uami meio gordo 1l,Leite,745
Gulkis,Leite meio gordo gulkis 1l,Leite,990
Uami,Leite uht uami magro 1l,Leite,990
Momo,Leite meio gordo momo uht 500ml,Leite,1.040
Gulkis,Leite uht gulkis 1l magro,Leite,1.185
Uami,Leite uht uami gordo 1l,Leite,1.185
Momo,Leite uht momo meio gordo 1l,Leite,1.235
Momo,Leite meio gordo momo uht basico 1lt,Leite,1.235
Gulkis,Leite uht gordo gulkis 1l,Leite,1.285
Momo,Leite gordo momo uht basico 1lt,Leite,1.285
Lactiangol,Leite uht lactiangol 1l gordo,Leite,1.335
Mimosa,Leite uht mimosa meio gordo,Leite,1.385
Super M,Bebida leite clover super m 300ml morango,Leite aromatizado,990
Good Hope,Leite soja clover good hope 1l regular,Bebida soja,2.970
Cocoriko,Leite coco cocoriko 400gr,Leite coco,1.285
Alimo,Leite coco alimo 370ml,Leite coco,2.395
Perdiz,Leite coco perdiz 400ml,Leite coco,3.615
Uami,Leite condensado uami 390gr,Leite Condensado,920
Biba,Leite condensado biba 390gr,Leite Condensado,990
Nestle,Leite condensado nestle sweetened 385gr,Leite Condensado,1.980
Clover,Leite condensado clover 385gr,Leite Condensado,1.980
Nestle,Leite condensado nestle magro 387gr,Leite Condensado,2.185
Parmalat,Nata p/cozinhar parmalat 200ml,Natas,2.275
Pritchitts,Nata p/cobertura pritchitts gold 1l,Natas,9.900
Alimo,Creme barrar alimo l´avela 350gr,Creme Barrar,1.780
Maxon,Creme barrar palmary maxon 350gr,Creme Barrar,1.980
Uami,Leite uht uami meio gordo 1l,Leite,745
Gulkis,Leite meio gordo gulkis 1l,Leite,990
Uami,Leite uht uami magro 1l,Leite,990
Momo,Leite meio gordo momo uht 500ml,Leite,1.040
Gulkis,Leite uht gulkis 1l magro,Leite,1.185
Uami,Leite uht uami gordo 1l,Leite,1.185
Momo,Leite uht momo meio gordo 1l,Leite,1.235
Momo,Leite meio gordo momo uht basico 1lt,Leite,1.235
Gulkis,Leite uht gordo gulkis 1l,Leite,1.285
Momo,Leite gordo momo uht basico 1lt,Leite,1.285
Lactiangol,Leite uht lactiangol 1l gordo,Leite,1.335
Mimosa,Leite uht mimosa meio gordo,Leite,1.385
Super M,Bebida leite clover super m 300ml morango,Leite aromatizado,990
Good Hope,Leite soja clover good hope 1l regular,Bebida soja,2.970
Cocoriko,Leite coco cocoriko 400gr,Leite coco,1.285
Alimo,Leite coco alimo 370ml,Leite coco,2.395
Perdiz,Leite coco perdiz 400ml,Leite coco,3.615
Uami,Leite condensado uami 390gr,Leite Condensado,920
Biba,Leite condensado biba 390gr,Leite Condensado,990
Nestle,Leite condensado nestle sweetened 385gr,Leite Condensado,1.980
Clover,Leite condensado clover 385gr,Leite Condensado,1.980
Nestle,Leite condensado nestle magro 387gr,Leite Condensado,2.185
Parmalat,Nata p/cozinhar parmalat 200ml,Natas,2.275
Pritchitts,Nata p/cobertura pritchitts gold 1l,Natas,9.900
Alimo,Creme barrar alimo l´avela 350gr,Creme Barrar,1.780
Maxon,Creme barrar palmary maxon 350gr,Creme Barrar,1.980
Uami,Leite uht uami meio gordo 1l,Leite,745
Gulkis,Leite meio gordo gulkis 1l,Leite,990
Uami,Leite uht uami magro 1l,Leite,990
Momo,Leite meio gordo momo uht 500ml,Leite,1.040
Gulkis,Leite uht gulkis 1l magro,Leite,1.185
Uami,Leite uht uami gordo 1l,Leite,1.185
Momo,Leite uht momo meio gordo 1l,Leite,1.235
Momo,Leite meio gordo momo uht basico 1lt,Leite,1.235
Gulkis,Leite uht gordo gulkis 1l,Leite,1.285
Momo,Leite gordo momo uht basico 1lt,Leite,1.285
Lactiangol,Leite uht lactiangol 1l gordo,Leite,1.335
Mimosa,Leite uht mimosa meio gordo,Leite,1.385
Super M,Bebida leite clover super m 300ml morango,Leite aromatizado,990
Good Hope,Leite soja clover good hope 1l regular,Bebida soja,2.970
Cocoriko,Leite coco cocoriko 400gr,Leite coco,1.285
Alimo,Leite coco alimo 370ml,Leite coco,2.395
Perdiz,Leite coco perdiz 400ml,Leite coco,3.615
Uami,Leite condensado uami 390gr,Leite Condensado,920
Biba,Leite condensado biba 390gr,Leite Condensado,990
Nestle,Leite condensado nestle sweetened 385gr,Leite Condensado,1.980
Clover,Leite condensado clover 385gr,Leite Condensado,1.980
Nestle,Leite condensado nestle magro 387gr,Leite Condensado,2.185
Parmalat,Nata p/cozinhar parmalat 200ml,Natas,2.275
Pritchitts,Nata p/cobertura pritchitts gold 1l,Natas,9.900
Alimo,Creme barrar alimo l´avela 350gr,Creme Barrar,1.780
Maxon,Creme barrar palmary maxon 350gr,Creme Barrar,1.980
Orion,"Agua mesa orion pet 0,40l",Água,70
Aura,"Agua mesa aura 0,5l",Água,80
Aquavita,"Agua mesa aquavita  0,5l",Água,90
Orion,"Agua mesa orion pet 0,60l",Água,95
Perla,"Agua mineral perla 0,60l",Água,95
Aquacita,"Agua mesa aquacita 0,5l",Água,110
Pura,"Agua mesa pura pet 0,33l",Água,110
Pura,"Agua mesa pura pet 0,5l",Água,120
Bom Jesus,"Agua bom jesus 0,33l",Água,130
Sengueji,"Agua mineral sengueji 1,5l",Água,140
Bom Jesus,"Agua bom jesus 0,5l",Água,140
Perla,"Agua mineral perla 1,5l",Água,155
Bom Jesus,"Agua c/gas bom jesus 0,25l",Água com gás,740
Bom Jesus,"Agua c/gas bom jesus 0,75l",Água com gás,2.175
Cuca,"Cerveja cuca gfa 0,25l saca facil",Cerveja garrafa,320
Eka,"Cerveja eka mini 0,25l",Cerveja garrafa,320
Cristal,"Cerveja cristal mini tp saca facil 0,25l",Cerveja garrafa,345
Mustang,"Cerveja mustang nrb 0,25l",Cerveja garrafa,890
Savanna,"Cerveja cidra savanna dry 0,25l",Cerveja garrafa,940
Espirit,"Cerveja esprit nrb 0,25l",Cerveja garrafa,940
Hunters,"Cerveja hunter`s gold nrb 0,25l",Cerveja garrafa,990
Cuca,"Cerveja cuca lata 0,33l",Cerveja lata,345
Nocal,"Cerveja nocal lata 0,33l",Cerveja lata,370
Tigra,"Cerveja tigra lata 0,33l",Cerveja lata,370
Eka,"Cerveja eka lata 0,33l",Cerveja lata,370
Super Bock,"Cerveja super bock lata 0,33l",Cerveja lata,445
Mustang,"Cerveja mustang lata 0,33l",Cerveja lata,730
Espirit,"Cerveja esprit lata 0,33l",Cerveja lata,840
Vila,"Vinho tinto vila pacote 0,25l",Vinho Tinto,445
Cacho Real,Vinho tinto cacho real 1l,Vinho Tinto,1.585
Opera Prima,"Vinho tinto opera prima 0,75l",Vinho Tinto,2.175
Monte Da Valada,"Vinho tinto monte da valada 0,75l",Vinho Tinto,2.545
Condestavel,"Vinho tinto condestavel 0,75l",Vinho Tinto,2.595
Conversas,"Vinho tinto conversas 0,75l",Vinho Tinto,2.870
Alma Do Tejo,"Vinho tinto alma do tejo 0,75l",Vinho Tinto,2.970
Ja Pias,Espumante meio seco requinte 75cl,Vinho Tinto,2.970
Clô,"Vinho tinto setubal clo 0,75l",Vinho Tinto,2.970
Terras De Paul,"Vinho tinto terras de paul 0,75l",Vinho Tinto,2.970
Maria Da Serra,"Vinho tinto maria da serra 0,75l",Vinho Tinto,2.970
Intimista,"Vinho tinto alentejo intimista 0,75l",Vinho Tinto,3.120
